paper_id,claim_id,statement,authored_claim_status,formula_refs,claim_kind,checks_total,finalized_checks,reproduced_checks,externally_blocked_checks,attempted_not_reproduced_checks,pending_checks,final_resolution_rate,successful_reproduction_rate,objective_blocker_rate,attempted_not_reproduced_rate,pending_rate,fidelity_scored_checks,fidelity_unscored_reproduced_checks,fidelity_evidence_coverage,conditional_fidelity,reproduction_degree_observed,reproduction_degree_lower_bound,reproduction_degree_upper_bound,numeric_fidelity_eligible,verification_status,verification_reason,formula_refs_resolved,formula_refs_total,passed_formula_checks
0709.0548,CLM_T012,Independent pseudorandom-circuit convergence audit,active,EQ006,numerical_claim,2,2,0,2,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
0709.0548,CLM_T013,DQC1 fixed-accuracy sampling overhead scales as 1/alpha squared,active,EQ012,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T014,"For alpha less than or equal to one half, discord is positive while PPT, realignment, and first-level Doherty tests do not detect entanglement",active,EQ007 | EQ009 | EQ010,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T015,"Externally cited complexity, speedup, and discord-measure context claims",active,,numerical_claim,5,5,0,5,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
0911.0556,CLM_MICROMASER,The micromaser tilted dynamics has first-order active/inactive transitions and biased photon phases.,active,EQ003 | EQ007 | EQ008,numerical_claim,7,7,0,7,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
0911.0556,CLM_THREE_LEVEL,The blinking three-level system crosses between active and inactive dynamical phases.,active,EQ001 | EQ002 | EQ003 | EQ005 | EQ006,numerical_claim,9,9,9,0,0,0,100.0,100.0,0.0,0.0,0.0,9,0,100.0,94.436811,94.436811,94.436811,94.436811,,,,,,
0911.0556,CLM_THREE_LEVEL_DOOB,For s>0 the physical Doob realization adds a strong mapped |1>-|2> drive that dresses the emitting transition and suppresses photon emission.,active,EQ006 | EQ009,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
0911.0556,CLM_TWO_LEVEL,At kappa=4 Omega all two-level s-ensembles share Q=-2/3 and differ by a time scale.,active,EQ001 | EQ002 | EQ003 | EQ004 | EQ005,numerical_claim,10,10,10,0,0,0,100.0,100.0,0.0,0.0,0.0,8,2,80.0,89.53265,89.53265,71.62612,91.62612,,,,,,
10.1007-s11433-024-2478-8,CLM_T001_SINGLE_PHOTON_HYBRID_CZ,The printed single-photon hybrid-modulation waveforms implement a BAM CZ gate with near-unit return populations and the required conditional phase.,verified,cz_gate_metric | fourier_waveform | h_sector00 | h_sector01 | h_sector11,numerical_claim,3,3,3,0,0,0,100.0,100.0,0.0,0.0,0.0,0,3,0.0,,,0.0,100.0,,,,,,
10.1007-s11433-024-2478-8,CLM_T002_SINGLE_PHOTON_AMPLITUDE_CZ,The printed single-photon amplitude-only waveforms implement a BAM CZ gate with near-unit return populations and the required conditional phase.,verified,cz_gate_metric | fourier_waveform | h_sector00 | h_sector01 | h_sector11,numerical_claim,3,3,3,0,0,0,100.0,100.0,0.0,0.0,0.0,0,3,0.0,,,0.0,100.0,,,,,,
10.1007-s11433-024-2478-8,CLM_T003_RABI_ROBUSTNESS,The single-photon hybrid BAM CZ retains low gate error over the published two-dimensional Rabi-amplitude ratio window.,verified,cz_gate_metric | fourier_waveform | h_sector00 | h_sector01 | h_sector11,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1007-s11433-024-2478-8,CLM_T004_TWO_PHOTON_HYBRID_CZ,The printed two-photon hybrid-modulation coefficients implement the BAM CZ behavior displayed in Main Fig. 4(a-c).,inconclusive_fresh_review_required,cz_gate_metric | fourier_waveform | twophoton_ladder_a5a6,numerical_claim,3,3,0,0,3,0,100.0,0.0,0.0,100.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1007-s11433-024-2478-8,CLM_T005_TWO_PHOTON_AMPLITUDE_CZ,The printed two-photon amplitude-only coefficients implement the BAM CZ behavior displayed in Main Fig. 4(d-f).,inconclusive_fresh_review_required,cz_gate_metric | fourier_waveform | twophoton_ladder_a5a6,numerical_claim,3,3,0,0,3,0,100.0,0.0,0.0,100.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1007-s11433-024-2478-8,CLM_T006_DUAL_PULSE_DOPPLER_CANCELLATION,The forward/backward dual-pulse BAM CZ sequence preserves the gate phase while cancelling the first-order Doppler sensitivity of the single-pulse protocol.,verified,cz_gate_metric | fourier_waveform | h_sector00 | h_sector01 | h_sector11,numerical_claim,6,6,6,0,0,0,100.0,100.0,0.0,0.0,0.0,0,6,0.0,,,0.0,100.0,,,,,,
10.1007-s11433-024-2478-8,CLM_T006_SINGLE_PULSE_REFERENCE,"The printed Appendix Fig. a5 single-pulse coefficients generate the displayed waveforms, return populations, and accumulated phases used as the Doppler-cancellation reference.",verified,cz_gate_metric | fourier_waveform | h_sector00 | h_sector01 | h_sector11,numerical_claim,6,6,6,0,0,0,100.0,100.0,0.0,0.0,0.0,0,6,0.0,,,0.0,100.0,,,,,,
10.1007-s11433-024-2478-8,CLM_T007_TOFFOLI_CCZ,The printed three-atom two-photon protocol implements the Toffoli/CCZ phase behavior displayed in Main Fig. 6.,inconclusive_fresh_review_required,cz_gate_metric | fourier_waveform | twophoton_ladder_a5a6,numerical_claim,3,3,2,0,1,0,100.0,66.666667,0.0,33.333333,0.0,0,2,0.0,,,0.0,66.666667,,,,,,
10.1007-s11433-024-2478-8,CLM_T008_A6_AMPLITUDE,The Appendix Fig. a6 single-photon amplitude-only protocol produces its published BAM CZ numerical signature.,verified,cz_gate_metric | fourier_waveform | h_sector00 | h_sector01 | h_sector11,numerical_claim,12,12,4,0,8,0,100.0,33.333333,0.0,66.666667,0.0,0,4,0.0,,,0.0,33.333333,,,,,,
10.1007-s11433-024-2478-8,CLM_T008_A6_HYBRID,The Appendix Fig. a6 single-photon hybrid-modulation protocol produces its published BAM CZ numerical signature.,verified,cz_gate_metric | fourier_waveform | h_sector00 | h_sector01 | h_sector11,numerical_claim,12,12,4,0,8,0,100.0,33.333333,0.0,66.666667,0.0,0,4,0.0,,,0.0,33.333333,,,,,,
10.1007-s11433-024-2478-8,CLM_T008_A7_AMPLITUDE,The Appendix Fig. a7 two-photon amplitude-only protocol produces its published BAM CZ numerical signature.,inconclusive_fresh_review_required,cz_gate_metric | fourier_waveform | twophoton_ladder_a5a6,numerical_claim,12,12,4,0,8,0,100.0,33.333333,0.0,66.666667,0.0,0,4,0.0,,,0.0,33.333333,,,,,,
10.1007-s11433-024-2478-8,CLM_T008_A7_HYBRID,The Appendix Fig. a7 two-photon hybrid-modulation protocol produces its published BAM CZ numerical signature.,inconclusive_fresh_review_required,cz_gate_metric | fourier_waveform | twophoton_ladder_a5a6,numerical_claim,12,12,4,0,8,0,100.0,33.333333,0.0,66.666667,0.0,0,4,0.0,,,0.0,33.333333,,,,,,
10.1007-s11433-024-2478-8,CLM_T008_A8_AMPLITUDE,The Appendix Fig. a8 end-coupled two-photon amplitude-only protocol produces its published BAM CZ numerical signature.,inconclusive_fresh_review_required,cz_gate_metric | fourier_waveform | twophoton_ladder_a5a6,numerical_claim,12,12,4,0,8,0,100.0,33.333333,0.0,66.666667,0.0,0,4,0.0,,,0.0,33.333333,,,,,,
10.1007-s11433-024-2478-8,CLM_T008_A8_HYBRID,The Appendix Fig. a8 end-coupled two-photon hybrid-modulation protocol produces its published BAM CZ numerical signature.,verified,cz_gate_metric | fourier_waveform | twophoton_ladder_a5a6,numerical_claim,12,12,4,0,8,0,100.0,33.333333,0.0,66.666667,0.0,0,4,0.0,,,0.0,33.333333,,,,,,
10.1038-s41467-025-67768-4,CLM_DISTANCE_AWARE_ZNE,"A distance-d code removes powers below m=ceil(d/2), so extrapolation must cancel the surviving powers beginning at r^m.",active,ZNE001 | ZNE002 | ZNE003,numerical_claim,8,8,8,0,0,0,100.0,100.0,0.0,0.0,0.0,0,8,0.0,,,0.0,100.0,,,,,,
10.1038-s41467-025-67768-4,CLM_FEEDBACK,"Feedback and post-selection reduce the injection-induced expectation bias, but the literal published injection law does not match the high-r plotted simulation.",falsified_at_source_alignment,FB001,numerical_claim,2,2,0,2,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41467-025-67768-4,CLM_FIXED_ERROR,"Supplementary Table 3 values preserve cumulative error only approximately, with a 1.9005 percent relative range.",qualified,REP001,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1038-s41467-025-67768-4,CLM_LATTICE_SURGERY,"The lattice-surgery ZNE benchmark is a numerical claim, but its schedule, syndrome rounds, decoder, and shot contract are not disclosed.",blocked_missing_method,ZNE002 | ZNE003,numerical_claim,2,2,0,2,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41467-025-67768-4,CLM_MEMORY,The Bravyi--Vargo path fit and distance-aware ZNE reproduce the large-scale logical-memory bias and overhead trends.,active,MEM001 | ZNE002 | ZNE003,numerical_claim,4,4,4,0,0,0,100.0,100.0,0.0,0.0,0.0,0,4,0.0,,,0.0,100.0,,,,,,
10.1038-s41467-025-67768-4,CLM_Q_LDPC,"The [[72,12,6]] qLDPC benchmark is a numerical claim, but the article does not disclose an executable circuit, decoder, noise, and trial contract.",blocked_missing_method,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41467-025-67768-4,CLM_REPETITION,"The logical failure probability is the binomial tail beginning at ceil(d/2), and independent rounds compose through logical-sign attenuation.",active,REP001,numerical_claim,5,5,5,0,0,0,100.0,100.0,0.0,0.0,0.0,0,5,0.0,,,0.0,100.0,,,,,,
10.1038-s41467-025-67768-4,CLM_SURFACE,"The reconstructed rotated [[9,1,3]] CSS code converts physical depolarizing noise into a normalized logical Pauli channel that contracts the corresponding Bloch components.",active,SURF001,numerical_claim,5,5,5,0,0,0,100.0,100.0,0.0,0.0,0.0,0,5,0.0,,,0.0,100.0,,,,,,
10.1038-s41586-024-08262-7,CLM001,"The single-mode exclusion-statistics ladders and thermal occupations in Main Fig. 2 follow from the paper's partition functions for fermion, boson, Ex.2, Ex.3, and Ex.4 at the published legend parameters.",active,single_mode_partition_z_R | thermal_occupation_n_beta,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
10.1038-s41586-024-08262-7,CLM002,The 1D solvable spin model realizes free paraparticles: its many-body spectrum is the subset-sum free-particle spectrum with multiplicity m^{|S|}.,active,solvable_1d_spin_model_free_paraparticles,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F2A,Main Fig. 2(a) co-moving dispersion,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F2B,Main Fig. 2(b) IR landmarks,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F2C,Main Fig. 2(c) ultraviolet roots,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F4A,Main Fig. 4(a) Eq. (D.1) theory curve,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F4B,Main Fig. 4(b) Eq. (D.1) theory curve,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F4C,Main Fig. 4(c) Eq. (D.1) theory curve,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F4D,Main Fig. 4(d) Eq. (D.1) theory curve,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F4E,Main Fig. 4(e) Eq. (D.1) theory curve,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F4F,Main Fig. 4(f) Eq. (D.1) theory curve,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_F5C,Main Fig. 5 equal-slope analytic constraint,,,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_S1A,Supplement Fig. 1(a) probe-wavelength scan,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_S1B,Supplement Fig. 1(b) pump-power scan,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1038-s41586-026-10720-3,CLM_T_S1C,Supplement Fig. 1(c) prechirp scan,,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1103-PRXQuantum.6.010331,CLM001,Appendix L approximates the ideal Rydberg CZ universal Haar and symmetric-Haar responses and captures the dominant Fig. 15 features.,active,EQ006,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
10.1103-PRXQuantum.6.010331,CLM002,Frequency response scales as Omega^-2 while intensity response is universal in 2*pi*f/Omega.,active,EQ005 | EQ006,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1103-PRXQuantum.6.010331,CLM003,"FRT predicts distinct Omega power laws for frequency, intensity, decay, and motion errors.",active,EQ007,numerical_claim,12,12,0,12,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1103-PRXQuantum.6.010331,CLM004,Public gate controls generate independently calculable protocol response functions.,active,EQ009,pure_theory,0,,,,,,,,,,,,,,,,,,false,verified_by_formula_or_invariant,all formula refs resolve with verified gates and a passed independent check,1,1,1
10.1103-PRXQuantum.6.010331,CLM005,"The spin-lock, many-body, cavity-filter, and SSB proxy mechanisms follow from explicit response formulas.",active,EQ010 | EQ011 | EQ012 | EQ013,pure_theory,0,,,,,,,,,,,,,,,,,,false,partial_formula_verification,"non-verified formula gates: EQ011, EQ013",4,4,4
10.1103-PRXQuantum.6.010331,CLM006,"At fixed laser power, principal quantum number changes both the Rabi frequency and blockade-limited spacing.",active,EQ008,numerical_claim,7,7,0,7,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1103-PhysRevB.91.085420,CLM_EXACT_ONE_CYCLE_POPULATION_CHANGE,Full one-cycle propagation at T=1024 produces the three-band population-change profiles of Main Fig. 2(a) while conserving total probability.,supported_paper_exact_numerics,cdhm_hamiltonian | floquet_eigenphases | initial_populations,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
10.1103-PhysRevB.91.085420,CLM_FIRST_ORDER_POPULATION_CHANGE,The first-order interband-coherence expression in Eq. (8) reproduces the structure and scale of the exact one-cycle population changes in Main Fig. 2(b).,supported_quantitatively,avg_quasienergy | population_change_delta_rho | transition_amplitude_W,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
10.1103-PhysRevB.91.085420,CLM_FLOQUET_BAND_SURFACES,At J=K=3 the continuously driven Harper model has the three separated Floquet eigenphase surfaces shown in Main Fig. 1(a).,supported_paper_exact_features,cdhm_hamiltonian | floquet_eigenphases,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
10.1103-PhysRevB.91.085420,CLM_FLOQUET_CHERN_TRANSITION,The IBC-corrected displacement detects the Floquet-Chern transition at J=K=5.14 and tracks the finite-T dynamics more closely than the Berry-only branch.,supported_with_finite_time_residual,avg_quasienergy | berry_curvature | displacement_delta_x | transition_amplitude_W,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1103-PhysRevB.91.085420,CLM_IBC_CORRECTED_DISPLACEMENT,"The Berry term plus the interband-coherence correction in Eq. (13) reproduces the T-independent wave-packet displacement, whereas the Berry-only value does not.",supported_paper_exact_numerics,avg_quasienergy | berry_curvature | displacement_delta_x | transition_amplitude_W,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1103-PhysRevB.91.085420,CLM_INITIAL_BAND_POPULATIONS,Projection of the site-l=0 initial state onto the Floquet eigenvectors yields the normalized three-band population profiles shown in Main Fig. 1(b).,supported_paper_exact_features,floquet_eigenphases | initial_populations,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
10.1103-PhysRevLett.124.113601,CLM001,"At the GAA mobility edge, localized eigenstates have zero critical pump while extended eigenstates retain finite thresholds; every AA state at chi/J=2.1 is localized and unstable.",active,EQ001 | EQ002 | EQ004 | EQ005 | EQ006,numerical_claim,2,2,0,0,2,0,100.0,0.0,0.0,100.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1103-PhysRevLett.124.113601,CLM002,"In the AA ground state the cavity susceptibility grows toward chi/J=2, lowering the critical pump to zero while additional quasiperiodic momentum channels become active.",active,EQ001 | EQ004 | EQ005 | EQ006 | EQ007,numerical_claim,5,5,4,0,1,0,100.0,80.0,0.0,20.0,0.0,4,0,100.0,95.8676,76.69408,76.69408,76.69408,,,,,,
10.1103-PhysRevLett.124.113601,CLM003,"The steady photon number turns on at lower pump as disorder grows, and the critical-pump landscape has minima when the cavity wave vector matches harmonics of the quasiperiodic lattice.",active,EQ001 | EQ003 | EQ004 | EQ005 | EQ008,numerical_claim,2,2,0,0,2,0,100.0,0.0,0.0,100.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1103-PhysRevLett.124.113601,CLM004,The self-consistent cavity field sharpens the localized atomic density profile in the chi/J=2.03 regime.,active,EQ001 | EQ003 | EQ008,numerical_claim,5,5,0,0,5,0,100.0,0.0,0.0,100.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1126-science.aaw1611,CLM001,A single photon spreads ballistically and reflects from finite-chain boundaries.,active,EQC001 | EQC003 | EQC004,numerical_claim,6,6,6,0,0,0,100.0,100.0,0.0,0.0,0.0,0,6,0.0,,,0.0,100.0,,,,,,
10.1126-science.aaw1611,CLM002,Information observables propagate inside the independently calculated dispersion and Lieb-Robinson scales.,active,EQC004 | EQC005 | EQC006,numerical_claim,3,3,3,0,0,0,100.0,100.0,0.0,0.0,0.0,0,3,0.0,,,0.0,100.0,,,,,,
10.1126-science.aaw1611,CLM003,Strongly attractive photons show antibunching and a hard-core/free-fermion correlation pattern.,active,EQC007 | EQC008,numerical_claim,15,15,3,12,0,0,100.0,20.0,80.0,0.0,0.0,0,3,0.0,,,0.0,20.0,,,,,,
10.1126-science.aaw1611,CLM004,Every site remains below three-percent double occupancy through 120 ns.,active,EQC007,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1126-science.aaw1611,CLM005,"Printed disorder ensembles localize the walk at large W, while bounded coupling errors explain fidelity fluctuations.",active,EQC009 | EQC010,numerical_claim,13,13,12,1,0,0,100.0,92.307692,7.692308,0.0,0.0,0,12,0.0,,,0.0,92.307692,,,,,,
10.1145-3297858.3304023,CLM_T001,Exact routed circuit and one-SWAP result for the paper example.,active,,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
10.1145-3297858.3304023,CLM_T002,"DAG/front-layer search, candidate SWAP restriction and reverse traversal.",active,,numerical_claim,3,3,3,0,0,0,100.0,100.0,0.0,0.0,0.0,0,3,0.0,,,0.0,100.0,,,,,,
10.1145-3297858.3304023,CLM_T003,Decay-controlled gate-count/depth operating-point trade-off.,active,,numerical_claim,2,2,0,2,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
10.1145-3297858.3304023,CLM_T004,Paper-scale Table II benchmark values and protocol fidelity.,active,,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
1004.0190,CLM_T001,Zero-discord commutator and rank criterion,active,EQ002,numerical_claim,17,17,17,0,0,0,100.0,100.0,0.0,0.0,0.0,0,17,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T002,Closed geometric discord versus direct minimization,active,EQ003 | EQ004,numerical_claim,12,12,12,0,0,0,100.0,100.0,0.0,0.0,0.0,0,12,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T003,"Main Fig. 1 tetrahedron, octahedron, and zero axes",active,EQ004 | EQ005,numerical_claim,5,5,5,0,0,0,100.0,100.0,0.0,0.0,0.0,0,5,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T004,Bell and separable extrema with source-discrepancy audit,active,EQ004 | EQ005,numerical_claim,4,4,4,0,0,0,100.0,100.0,0.0,0.0,0.0,0,4,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T005,DQC1 normalized-trace readout,active,EQ006,numerical_claim,5,5,5,0,0,0,100.0,100.0,0.0,0.0,0.0,0,5,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T006,DQC1 zero-discord condition,active,EQ002 | EQ007,numerical_claim,7,7,7,0,0,0,100.0,100.0,0.0,0.0,0.0,0,7,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T007,Multipartite zero-discord criterion and scaling,active,EQ002 | EQ008,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T008,Local-channel creation and removal of discord,active,EQ003 | EQ010,numerical_claim,3,3,3,0,0,0,100.0,100.0,0.0,0.0,0.0,0,3,0.0,,,0.0,100.0,,,,,,
1004.0190,CLM_T009,Zero-discord DQC1 hardness and resource boundary,active,EQ007 | EQ011,numerical_claim,2,2,0,2,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
1004.0190,CLM_T010,DQC1 entanglement over regrouped bipartitions,active,EQ012,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
1106.2978,CLM_CORRELATIONS,"The isotropic NESS has the printed O(1/n) connected correlation kernel, while its separately printed weak-coupling limit is independently testable.",disputed,EQ009 | EQ014,numerical_claim,2,2,1,0,1,0,100.0,50.0,0.0,50.0,0.0,0,1,0.0,,,0.0,50.0,,,,,,
1106.2978,CLM_ISOTROPIC_DERIVATION,"The easy-axis and isotropic asymptotic derivations obey the stated amplitude, transfer and continuum identities.",active,EQ007 | EQ008 | EQ013,numerical_claim,4,4,4,0,0,0,100.0,100.0,0.0,0.0,0.0,0,4,0.0,,,0.0,100.0,,,,,,
